199.30.20.3 - - [24/May/2013:17:03:48 -0700] "GET /dh.gif HTTP/1.1" 200 1466 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.donhughescountry.com"
188.92.76.167 - - [24/May/2013:20:36:20 -0700] "HEAD / HTTP/1.1" 200 0 "http://tkdot.com/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)" "donhughescountry.com"
173.236.21.106 - - [24/May/2013:20:50:58 -0700] "GET /index2.php?page=contactus HTTP/1.0" 200 7518 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
220.181.51.110 - - [24/May/2013:22:27:00 -0700] "GET /new-site HTTP/1.1" 301 100 "-" "Mozilla" "donhughescountry.com"
220.181.51.103 - - [24/May/2013:22:27:02 -0700] "GET /new-site/dynamic/ HTTP/1.1" 200 3746 "-" "Mozilla" "donhughescountry.com"
204.12.198.106 - - [24/May/2013:23:19:09 -0700] "GET /index2.php?page=industry HTTP/1.0" 200 7519 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
100.43.83.135 - - [25/May/2013:01:46:35 -0700] "GET /mm/stationery/ThumbnailGrid/DHsm1.gif HTTP/1.1" 200 9051 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
188.92.76.167 - - [25/May/2013:02:45:01 -0700] "HEAD / HTTP/1.1" 200 0 "http://tkdot.com/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Win64; x64; Trident/6.0)" "donhughescountry.com"
100.43.83.135 - - [25/May/2013:02:45:52 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
100.43.83.135 - - [25/May/2013:02:45:59 -0700] "GET /pic1.gif HTTP/1.1" 200 40134 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
220.181.51.110 - - [25/May/2013:04:35:32 -0700] "GET / HTTP/1.1" 200 4461 "-" "Mozilla" "donhughescountry.com"
220.181.51.108 - - [25/May/2013:04:35:33 -0700] "GET /new-site HTTP/1.1" 301 100 "-" "Mozilla" "donhughescountry.com"
220.181.51.105 - - [25/May/2013:04:35:34 -0700] "GET /new-site/ HTTP/1.1" 200 4805 "-" "Mozilla" "donhughescountry.com"
220.181.51.105 - - [25/May/2013:04:35:34 -0700] "GET /new-site/dynamic HTTP/1.1" 301 108 "-" "Mozilla" "donhughescountry.com"
220.181.51.102 - - [25/May/2013:04:35:35 -0700] "GET /new-site/dynamic/ HTTP/1.1" 200 3746 "-" "Mozilla" "donhughescountry.com"
220.181.51.155 - - [25/May/2013:09:28:46 -0700] "GET /news1.swf HTTP/1.0" 200 250907 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
220.181.51.155 - - [25/May/2013:09:45:37 -0700] "GET /dhfilm.mp4 HTTP/1.0" 200 929992 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
100.43.83.135 - - [25/May/2013:13:17:30 -0700] "GET /photoview1.html HTTP/1.1" 200 1660 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
100.43.83.135 - - [25/May/2013:13:17:59 -0700] "GET /mm/stationery/ThumbnailGrid/dh_5032sm.gif HTTP/1.1" 200 12502 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
173.208.180.58 - - [25/May/2013:14:55:15 -0700] "GET /robots.txt HTTP/1.0" 200 92 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
173.208.180.58 - - [25/May/2013:14:55:21 -0700] "GET / HTTP/1.0" 200 2871 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "www.donhughescountry.com"
188.92.76.167 - - [25/May/2013:16:07:39 -0700] "HEAD / HTTP/1.1" 200 0 "http://tkdot.com/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "donhughescountry.com"
220.181.51.103 - - [25/May/2013:16:37:10 -0700] "GET /new-site/dynamic HTTP/1.1" 301 108 "-" "Mozilla" "donhughescountry.com"
