178.77.126.55 - - [10/Jun/2013:20:18:02 -0700] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (compatible; CareerBot/1.1; +http://www.career-x.de/bot.html)" "www.donhughescountry.com"
178.255.215.75 - - [10/Jun/2013:22:07:08 -0700] "GET /contact.htm HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Exabot/3.0; +http://www.exabot.com/go/robot)" "www.donhughescountry.com"
65.55.24.243 - - [11/Jun/2013:00:52:15 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.donhughescountry.com"
65.55.24.243 - - [11/Jun/2013:00:54:23 -0700] "GET / HTTP/1.1" 200 2893 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.donhughescountry.com"
66.249.82.65 - - [11/Jun/2013:04:01:39 -0700] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko; Google Page Speed Insights) Chrome/22.0.1229 Safari/537.4" "donhughescountry.com"
66.249.82.95 - - [11/Jun/2013:04:01:40 -0700] "GET /new-site/ HTTP/1.1" 200 2661 "http://donhughescountry.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko; Google Page Speed Insights) Chrome/22.0.1229 Safari/537.4" "donhughescountry.com"
66.249.82.93 - - [11/Jun/2013:04:01:42 -0700] "GET /new-site/index.html HTTP/1.1" 200 2545 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko; Google Page Speed Insights) Chrome/22.0.1229 Safari/537.4" "donhughescountry.com"
64.15.156.155 - - [11/Jun/2013:04:04:02 -0700] "GET / HTTP/1.1" 200 2894 "-" "Mozilla/5.0 (X11; U; Linux x86_64; c) AppleWebKit/531.2+ (KHTML, like Gecko) Version/5.0 WatchMouse/$Revision: 26005 $" "donhughescountry.com"
64.15.156.155 - - [11/Jun/2013:04:04:04 -0700] "GET /new-site/_css/styles.css HTTP/1.1" 200 8655 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (X11; U; Linux x86_64; c) AppleWebKit/531.2+ (KHTML, like Gecko) Version/5.0 WatchMouse/$Revision: 26005 $" "donhughescountry.com"
64.15.156.155 - - [11/Jun/2013:04:04:06 -0700] "GET /new-site/index.html HTTP/1.1" 200 2545 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (X11; U; Linux x86_64; c) AppleWebKit/531.2+ (KHTML, like Gecko) Version/5.0 WatchMouse/$Revision: 26005 $" "donhughescountry.com"
54.226.28.114 - - [11/Jun/2013:04:05:04 -0700] "GET / HTTP/1.1" 200 3008 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-GB; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3" "www.donhughescountry.com"
54.226.28.114 - - [11/Jun/2013:04:05:07 -0700] "GET / HTTP/1.1" 200 3009 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-GB; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3" "donhughescountry.com"
54.226.28.114 - - [11/Jun/2013:04:05:07 -0700] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_0 like Mac OS X; en-us) AppleWebKit/532.9 (KHTML, like Gecko) Version/4.0.5 Mobile/8A293 Safari/6531.22.7" "donhughescountry.com"
70.32.40.218 - - [11/Jun/2013:04:05:14 -0700] "GET /new-site HTTP/1.1" 301 100 "http://donhughescountry.com/" "Mozilla/5.0 (X11; Linux x86_64; rv:13.0) Gecko/20100101 Firefox/13.0" "donhughescountry.com"
70.32.40.218 - - [11/Jun/2013:04:05:14 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:13.0) Gecko/20100101 Firefox/13.0" "donhughescountry.com"
70.32.40.218 - - [11/Jun/2013:04:05:14 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:13.0) Gecko/20100101 Firefox/13.0" "donhughescountry.com"
70.32.40.218 - - [11/Jun/2013:04:05:14 -0700] "GET /new-site/_css/styles.css HTTP/1.1" 200 2179 "http://donhughescountry.com/new-site/" "Mozilla/5.0 (X11; Linux x86_64; rv:13.0) Gecko/20100101 Firefox/13.0" "donhughescountry.com"
70.32.40.218 - - [11/Jun/2013:04:05:14 -0700] "GET /new-site/dynamic HTTP/1.1" 301 108 "http://donhughescountry.com/new-site/" "Mozilla/5.0 (X11; Linux x86_64; rv:13.0) Gecko/20100101 Firefox/13.0" "donhughescountry.com"
70.32.40.218 - - [11/Jun/2013:04:05:14 -0700] "GET /new-site/dynamic/ HTTP/1.1" 200 2271 "http://donhughescountry.com/new-site/" "Mozilla/5.0 (X11; Linux x86_64; rv:13.0) Gecko/20100101 Firefox/13.0" "donhughescountry.com"
70.32.40.218 - - [11/Jun/2013:04:05:14 -0700] "GET /new-site/dynamic/js/builder.class.js HTTP/1.1" 200 1018 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (X11; Linux x86_64; rv:13.0) Gecko/20100101 Firefox/13.0" "donhughescountry.com"
70.32.40.218 - - [11/Jun/2013:04:05:14 -0700] "GET /new-site/dynamic/js/main.js HTTP/1.1" 200 4459 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (X11; Linux x86_64; rv:13.0) Gecko/20100101 Firefox/13.0" "donhughescountry.com"
70.32.40.218 - - [11/Jun/2013:04:05:14 -0700] "GET /new-site/dynamic/js/libs/jquery/1.7.1/jquery.min.js HTTP/1.1" 200 33679 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (X11; Linux x86_64; rv:13.0) Gecko/20100101 Firefox/13.0" "donhughescountry.com"
70.32.40.218 - - [11/Jun/2013:04:05:20 -0700] "GET /new-site/_css/responsive.css HTTP/1.1" 404 89 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (X11; Linux x86_64; rv:13.0) Gecko/20100101 Firefox/13.0" "donhughescountry.com"
74.125.19.48 - - [11/Jun/2013:04:08:05 -0700] "GET / HTTP/1.1" 200 3009 "-" "Mozilla/5.0 (en-US) AppleWebKit/[WEBKIT_VERSION] (KHTML, like Gecko) Chrome/[CHROME_VERSION] Safari/[WEBKIT_VERSION] pss-webkit-request" "donhughescountry.com"
66.249.84.49 - - [11/Jun/2013:04:08:06 -0700] "GET /new-site/ HTTP/1.1" 200 2663 "http://donhughescountry.com/?ModPagespeedFilters=compute_critical_css,decode_rewritten_urls,disable_javascript,flatten_css_imports,inline_css,inline_import_to_link,rewrite_css&ModPagespeedCssFlattenMaxBytes=0&ModPagespeedCssImageInlineMaxBytes=0&ModPagespeedCssInlineMaxBytes=10485760" "Mozilla/5.0 (en-US) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229 Safari/537.4 pss-webkit-request" "donhughescountry.com"
66.249.84.153 - - [11/Jun/2013:04:08:06 -0700] "GET /new-site/_css/styles.css HTTP/1.1" 200 2179 "http://donhughescountry.com/new-site/" "Mozilla/5.0 (en-US) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229 Safari/537.4 pss-webkit-request" "donhughescountry.com"
