188.92.76.167 - - [11/Jun/2013:20:29:16 -0700] "HEAD / HTTP/1.1" 200 0 "http://r-e-f-e-r-e-r.com/donhughescountry.com" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)" "donhughescountry.com"
157.55.35.47 - - [11/Jun/2013:22:19:05 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "donhughescountry.com"
157.55.32.28 - - [11/Jun/2013:23:06:58 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.donhughescountry.com"
180.76.5.100 - - [12/Jun/2013:03:51:55 -0700] "GET /industryinfo.htm HTTP/1.1" 200 1656 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
65.55.215.102 - - [12/Jun/2013:04:31:08 -0700] "GET /robots.txt HTTP/1.1" 200 559 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.donhughescountry.com"
199.30.24.20 - - [12/Jun/2013:07:39:02 -0700] "GET /new-site/dynamic/js/libs/jquery/1.7.1/jquery.min.js HTTP/1.1" 200 33679 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" "www.donhughescountry.com"
123.125.67.243 - - [12/Jun/2013:08:39:04 -0700] "GET /dhfilm.mp4 HTTP/1.0" 200 455570 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
220.181.51.220 - - [12/Jun/2013:09:34:50 -0700] "GET /dhfilm.mp4 HTTP/1.0" 200 1141922 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
180.76.5.7 - - [12/Jun/2013:10:57:53 -0700] "GET /new-site HTTP/1.1" 301 104 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
180.76.6.230 - - [12/Jun/2013:10:57:54 -0700] "GET /new-site/ HTTP/1.1" 200 2545 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
180.76.5.64 - - [12/Jun/2013:10:57:55 -0700] "GET /new-site/dynamic HTTP/1.1" 301 112 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
180.76.5.163 - - [12/Jun/2013:10:57:55 -0700] "GET /new-site/dynamic/ HTTP/1.1" 200 3746 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
157.55.33.100 - - [12/Jun/2013:12:38:09 -0700] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.donhughescountry.com"
199.21.99.125 - - [12/Jun/2013:14:56:08 -0700] "GET /photoview1.html HTTP/1.1" 200 1660 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
166.147.123.31 - - [12/Jun/2013:15:00:12 -0700] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.donhughescountry.com"
166.147.123.31 - - [12/Jun/2013:15:00:13 -0700] "GET /new-site HTTP/1.1" 301 104 "http://www.donhughescountry.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.donhughescountry.com"
166.147.123.31 - - [12/Jun/2013:15:00:13 -0700] "GET /new-site/ HTTP/1.1" 200 2545 "http://www.donhughescountry.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.donhughescountry.com"
166.147.123.31 - - [12/Jun/2013:15:00:14 -0700] "GET /new-site/_css/styles.css HTTP/1.1" 200 2179 "http://www.donhughescountry.com/new-site/" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.donhughescountry.com"
166.147.123.31 - - [12/Jun/2013:15:00:15 -0700] "GET /new-site/dynamic HTTP/1.1" 301 112 "http://www.donhughescountry.com/new-site/" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.donhughescountry.com"
166.147.123.31 - - [12/Jun/2013:15:00:16 -0700] "GET /new-site/_css/responsive.css HTTP/1.1" 404 89 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.donhughescountry.com"
166.147.123.31 - - [12/Jun/2013:15:00:16 -0700] "GET /new-site/dynamic/js/libs/jquery/1.7.1/jquery.min.js HTTP/1.1" 200 33679 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.donhughescountry.com"
166.147.123.31 - - [12/Jun/2013:15:00:17 -0700] "GET /new-site/index.html HTTP/1.1" 200 2544 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25" "www.donhughescountry.com"
157.55.32.28 - - [12/Jun/2013:15:32:35 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.donhughescountry.com"
