199.30.20.117 - - [27/Jun/2013:17:00:21 -0700] "GET /jukebox.jpg HTTP/1.1" 200 5321 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.donhughescountry.com"
198.27.66.79 - - [27/Jun/2013:18:19:06 -0700] "GET /robots.txt HTTP/1.1" 200 559 "-" "Mozilla/5.0 (compatible; meanpathbot/1.0; +http://www.meanpath.com/meanpathbot.html)" "donhughescountry.com"
198.27.66.79 - - [27/Jun/2013:18:19:35 -0700] "GET / HTTP/1.1" 200 2893 "-" "Mozilla/5.0 (compatible; meanpathbot/1.0; +http://www.meanpath.com/meanpathbot.html)" "donhughescountry.com"
65.55.215.59 - - [27/Jun/2013:20:37:39 -0700] "GET /robots.txt HTTP/1.1" 200 559 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.donhughescountry.com"
65.55.215.59 - - [27/Jun/2013:20:37:39 -0700] "GET /actingmenu.gif HTTP/1.1" 200 1176 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.donhughescountry.com"
199.80.54.252 - - [27/Jun/2013:20:58:43 -0700] "GET / HTTP/1.1" 200 4461 "-" "Python-urllib/2.6" "donhughescountry.com"
180.76.5.164 - - [27/Jun/2013:22:57:56 -0700] "GET /bio.htm HTTP/1.1" 200 2075 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
180.76.5.19 - - [27/Jun/2013:23:12:56 -0700] "GET /index2.php?page=album HTTP/1.1" 200 7572 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
123.125.71.106 - - [28/Jun/2013:01:59:51 -0700] "GET /robots.txt HTTP/1.1" 200 559 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "donhughescountry.com"
199.120.96.200 - - [28/Jun/2013:04:35:41 -0700] "GET / HTTP/1.1" 200 4461 "https://www.google.com/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36" "www.donhughescountry.com"
199.120.96.200 - - [28/Jun/2013:04:35:41 -0700] "GET /favicon.ico HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36" "www.donhughescountry.com"
199.120.96.200 - - [28/Jun/2013:04:35:41 -0700] "GET /new-site HTTP/1.1" 301 104 "http://www.donhughescountry.com/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36" "www.donhughescountry.com"
199.120.96.200 - - [28/Jun/2013:04:35:41 -0700] "GET /new-site/ HTTP/1.1" 200 4805 "http://www.donhughescountry.com/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36" "www.donhughescountry.com"
199.120.96.200 - - [28/Jun/2013:04:35:42 -0700] "GET /new-site/_css/styles.css HTTP/1.1" 200 2179 "http://www.donhughescountry.com/new-site/" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36" "www.donhughescountry.com"
