123.125.71.20 - - [24/Jul/2013:17:45:49 -0700] "GET /robots.txt HTTP/1.1" 200 559 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "donhughescountry.com"
100.43.83.135 - - [24/Jul/2013:18:10:33 -0700] "GET /photoview1.html HTTP/1.1" 200 1659 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
24.145.18.161 - - [24/Jul/2013:19:06:55 -0700] "GET / HTTP/1.1" 200 4461 "https://www.google.com/" "Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.72 Safari/537.36" "www.donhughescountry.com"
24.145.18.161 - - [24/Jul/2013:19:06:55 -0700] "GET /new-site HTTP/1.1" 301 104 "http://www.donhughescountry.com/" "Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.72 Safari/537.36" "www.donhughescountry.com"
24.145.18.161 - - [24/Jul/2013:19:06:55 -0700] "GET /new-site/_css/styles.css HTTP/1.1" 200 2179 "http://www.donhughescountry.com/new-site/" "Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.72 Safari/537.36" "www.donhughescountry.com"
24.145.18.161 - - [24/Jul/2013:19:06:56 -0700] "GET /new-site/dynamic/ HTTP/1.1" 200 2272 "http://www.donhughescountry.com/new-site/" "Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.72 Safari/537.36" "www.donhughescountry.com"
24.145.18.161 - - [24/Jul/2013:19:06:56 -0700] "GET /new-site/dynamic/js/builder.class.js HTTP/1.1" 200 1018 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.72 Safari/537.36" "www.donhughescountry.com"
24.145.18.161 - - [24/Jul/2013:19:06:56 -0700] "GET /new-site/dynamic/js/libs/jquery/plugins/jquery.listen-min.js HTTP/1.1" 200 1742 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.72 Safari/537.36" "www.donhughescountry.com"
24.145.18.161 - - [24/Jul/2013:19:06:56 -0700] "GET /new-site/dynamic/js/main.js HTTP/1.1" 200 1746 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.72 Safari/537.36" "www.donhughescountry.com"
24.145.18.161 - - [24/Jul/2013:19:06:56 -0700] "GET /new-site/_images/sidepic2.png HTTP/1.1" 200 362276 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.72 Safari/537.36" "www.donhughescountry.com"
24.145.18.161 - - [24/Jul/2013:19:06:56 -0700] "GET /new-site/index.html HTTP/1.1" 200 2546 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.72 Safari/537.36" "www.donhughescountry.com"
