183.60.213.29 - - [07/Aug/2013:17:34:34 -0700] "GET / HTTP/1.1" 200 2892 "-" "Mozilla/5.0 (compatible; EasouSpider; +http://www.easou.com/search/spider.html)" "donhughescountry.com"
37.147.150.158 - - [07/Aug/2013:18:16:50 -0700] "GET /forum/ HTTP/1.0" 404 73 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)" "donhughescountry.com"
123.125.71.114 - - [07/Aug/2013:18:43:43 -0700] "GET /new-site/dynamic/gallery.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
66.249.73.58 - - [07/Aug/2013:20:12:27 -0700] "GET /mainbar.jpg HTTP/1.1" 200 40110 "-" "Googlebot-Image/1.0" "www.donhughescountry.com"
185.7.215.66 - - [07/Aug/2013:20:19:58 -0700] "GET / HTTP/1.1" 200 4461 "-" "Java/1.7.0_25" "www.donhughescountry.com"
180.76.6.29 - - [07/Aug/2013:22:52:51 -0700] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
180.76.6.223 - - [07/Aug/2013:22:52:51 -0700] "GET /new-site HTTP/1.1" 301 104 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
180.76.5.91 - - [07/Aug/2013:22:52:52 -0700] "GET /new-site/ HTTP/1.1" 200 2546 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
180.76.5.56 - - [07/Aug/2013:22:52:53 -0700] "GET /new-site/dynamic/ HTTP/1.1" 200 2271 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
173.199.115.139 - - [08/Aug/2013:03:10:40 -0700] "GET /index2.php HTTP/1.1" 200 7568 "-" "Mozilla/5.0 (compatible; AhrefsBot/4.0; +http://ahrefs.com/robot/)" "www.donhughescountry.com"
173.199.115.139 - - [08/Aug/2013:03:10:45 -0700] "GET /industry.htm HTTP/1.1" 200 1563 "-" "Mozilla/5.0 (compatible; AhrefsBot/4.0; +http://ahrefs.com/robot/)" "www.donhughescountry.com"
