218.30.103.144 - - [09/Aug/2013:02:00:04 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Sogou web spider/4.0" "donhughescountry.com"
5.10.83.44 - - [09/Aug/2013:03:59:43 -0700] "GET /photoview5.html HTTP/1.1" 200 1741 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)" "www.donhughescountry.com"
5.10.83.44 - - [09/Aug/2013:04:14:07 -0700] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)" "www.donhughescountry.com"
157.56.92.164 - - [09/Aug/2013:05:20:36 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.donhughescountry.com"
5.10.83.44 - - [09/Aug/2013:05:34:07 -0700] "GET /photoview2.html HTTP/1.1" 200 1831 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)" "www.donhughescountry.com"
5.10.83.44 - - [09/Aug/2013:06:20:20 -0700] "GET /photoview4.html HTTP/1.1" 200 1743 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)" "www.donhughescountry.com"
180.76.5.187 - - [09/Aug/2013:06:46:12 -0700] "GET /media.htm HTTP/1.1" 200 2448 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
66.249.73.56 - - [09/Aug/2013:08:52:22 -0700] "GET /new-site/dynamic/music HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.donhughescountry.com"
123.125.71.41 - - [09/Aug/2013:11:01:53 -0700] "GET /robots.txt HTTP/1.1" 200 559 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
123.125.67.242 - - [09/Aug/2013:11:09:03 -0700] "GET /dhfilm.mp4 HTTP/1.0" 200 1019128 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
220.181.51.156 - - [09/Aug/2013:12:05:57 -0700] "GET /news1.swf HTTP/1.0" 200 250907 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
220.181.51.157 - - [09/Aug/2013:12:21:31 -0700] "GET /dhfilm.mp4 HTTP/1.0" 200 972792 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
5.10.83.97 - - [09/Aug/2013:13:08:14 -0700] "GET /web.htm HTTP/1.1" 200 2228 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)" "www.donhughescountry.com"
5.10.83.97 - - [09/Aug/2013:13:14:07 -0700] "GET /contact.htm HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)" "www.donhughescountry.com"
180.76.5.177 - - [09/Aug/2013:15:24:06 -0700] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
180.76.5.149 - - [09/Aug/2013:15:24:08 -0700] "GET /new-site/ HTTP/1.1" 200 2547 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
180.76.6.223 - - [09/Aug/2013:15:24:11 -0700] "GET /new-site/dynamic HTTP/1.1" 301 112 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
