66.249.73.38 - - [09/Aug/2013:21:41:04 -0700] "GET /new-site/dynamic/about.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.donhughescountry.com"
199.30.20.38 - - [09/Aug/2013:21:44:49 -0700] "GET /robots.txt HTTP/1.1" 200 559 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.donhughescountry.com"
199.30.20.38 - - [09/Aug/2013:21:44:49 -0700] "GET /jukebox.jpg HTTP/1.1" 200 5321 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.donhughescountry.com"
178.255.87.241 - - [10/Aug/2013:02:03:03 -0700] "GET / HTTP/1.1" 200 4461 "-" "Java/1.6.0_29" "donhughescountry.com"
178.77.126.55 - - [10/Aug/2013:06:31:36 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; CareerBot/1.1; +http://www.career-x.de/bot.html)" "www.donhughescountry.com"
178.77.126.55 - - [10/Aug/2013:06:31:36 -0700] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (compatible; CareerBot/1.1; +http://www.career-x.de/bot.html)" "www.donhughescountry.com"
157.55.36.39 - - [10/Aug/2013:06:50:22 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "donhughescountry.com"
180.76.5.154 - - [10/Aug/2013:07:09:28 -0700] "GET /niceforms.js HTTP/1.1" 200 7972 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
100.43.83.135 - - [10/Aug/2013:07:29:21 -0700] "GET / HTTP/1.1" 200 2894 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "donhughescountry.com"
100.43.83.135 - - [10/Aug/2013:07:29:36 -0700] "GET /donhughes.swf HTTP/1.1" 200 123769 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "donhughescountry.com"
100.43.83.135 - - [10/Aug/2013:07:29:54 -0700] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "donhughescountry.com"
