180.76.5.165 - - [15/Aug/2013:21:12:35 -0700] "GET /new-site/dynamic HTTP/1.1" 301 112 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
66.249.73.63 - - [16/Aug/2013:00:40:27 -0700] "GET /industry_news.php HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.donhughescountry.com"
100.43.83.135 - - [16/Aug/2013:00:54:11 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
183.60.213.86 - - [16/Aug/2013:04:17:10 -0700] "GET /robots.txt HTTP/1.1" 200 699 "-" "Mozilla/5.0 (Windows NT 6.1; rv:16.0) Gecko/20100101 Firefox/16.0" "donhughescountry.com"
173.242.125.206 - - [16/Aug/2013:04:54:02 -0700] "GET /robots.txt HTTP/1.0" 200 92 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
173.242.125.206 - - [16/Aug/2013:04:54:04 -0700] "GET /index2.php?page=acting HTTP/1.0" 200 35564 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
173.242.125.206 - - [16/Aug/2013:04:54:06 -0700] "GET /index2.php?page=album HTTP/1.0" 200 7517 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
173.242.125.206 - - [16/Aug/2013:04:54:07 -0700] "GET /index2.php?page=bio HTTP/1.0" 200 35561 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
173.242.125.206 - - [16/Aug/2013:04:54:09 -0700] "GET /index2.php?page=musicnews HTTP/1.0" 200 35567 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
173.242.125.206 - - [16/Aug/2013:04:54:11 -0700] "GET /robots.txt HTTP/1.0" 200 535 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
173.242.125.206 - - [16/Aug/2013:04:54:12 -0700] "GET /sitemap.xml HTTP/1.0" 200 4015 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.3; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
100.43.83.135 - - [16/Aug/2013:06:34:05 -0700] "GET /photoview6.html HTTP/1.1" 200 1738 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
76.20.12.113 - - [16/Aug/2013:07:39:36 -0700] "GET /index2.php?page=contactus HTTP/1.1" 200 35583 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "donhughescountry.com"
76.20.12.113 - - [16/Aug/2013:07:39:36 -0700] "GET /ajax_page.js HTTP/1.1" 200 1879 "http://donhughescountry.com/index2.php?page=contactus" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "donhughescountry.com"
76.20.12.113 - - [16/Aug/2013:07:39:36 -0700] "GET /niceforms.js HTTP/1.1" 200 7972 "http://donhughescountry.com/index2.php?page=contactus" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "donhughescountry.com"
76.20.12.113 - - [16/Aug/2013:07:39:36 -0700] "GET /niceforms.css HTTP/1.1" 200 1585 "http://donhughescountry.com/index2.php?page=contactus" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "donhughescountry.com"
76.20.12.113 - - [16/Aug/2013:07:39:43 -0700] "GET /jukebox.jpg HTTP/1.1" 200 5321 "http://donhughescountry.com/index2.php?page=contactus" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "donhughescountry.com"
76.20.12.113 - - [16/Aug/2013:07:39:43 -0700] "GET /mainbar.jpg HTTP/1.1" 200 40110 "http://donhughescountry.com/index2.php?page=contactus" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "donhughescountry.com"
