220.181.108.122 - - [25/Oct/2013:19:11:34 -0700] "GET /main1.jpg HTTP/1.1" 200 28002 "http://image.baidu.com/i?ct=503316480&z=0&tn=baiduimagedetail" "Baiduspider-image+(+http://www.baidu.com/search/spider.htm)" "www.donhughescountry.com"
66.249.73.47 - - [25/Oct/2013:21:04:54 -0700] "GET /donsmenu.gif HTTP/1.1" 200 7437 "-" "Googlebot-Image/1.0" "www.donhughescountry.com"
5.10.83.30 - - [26/Oct/2013:00:19:13 -0700] "GET /robots.txt HTTP/1.1" 200 559 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)" "www.donhughescountry.com"
66.249.73.62 - - [26/Oct/2013:03:44:10 -0700] "GET /buy.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.donhughescountry.com"
220.181.51.108 - - [26/Oct/2013:04:59:58 -0700] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "www.donhughescountry.com"
220.181.51.102 - - [26/Oct/2013:05:00:00 -0700] "GET /new-site HTTP/1.1" 301 104 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "www.donhughescountry.com"
220.181.51.110 - - [26/Oct/2013:05:00:05 -0700] "GET /new-site/dynamic/ HTTP/1.1" 200 3746 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" "www.donhughescountry.com"
123.125.71.58 - - [26/Oct/2013:05:00:14 -0700] "GET /robots.txt HTTP/1.1" 200 559 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "donhughescountry.com"
157.55.33.29 - - [26/Oct/2013:07:37:47 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.donhughescountry.com"
220.181.108.180 - - [26/Oct/2013:08:24:48 -0700] "GET /new-site/dynamic/js/libs/jquery/1.7.1/jquery.min.js HTTP/1.1" 200 33679 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.donhughescountry.com"
123.125.67.243 - - [26/Oct/2013:08:47:19 -0700] "GET /dhfilm.mp4 HTTP/1.0" 200 851968 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
220.181.51.158 - - [26/Oct/2013:08:59:25 -0700] "GET /dhfilm.mp4 HTTP/1.0" 200 850352 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
157.55.33.40 - - [26/Oct/2013:14:15:52 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.donhughescountry.com"
100.43.83.135 - - [26/Oct/2013:15:46:55 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
100.43.83.135 - - [26/Oct/2013:15:47:01 -0700] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "donhughescountry.com"
100.43.83.135 - - [26/Oct/2013:15:47:04 -0700] "GET /radio2.swf HTTP/1.1" 200 2579418 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
100.43.83.135 - - [26/Oct/2013:15:47:08 -0700] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "donhughescountry.com"
100.43.83.135 - - [26/Oct/2013:15:47:12 -0700] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
100.43.83.135 - - [26/Oct/2013:15:47:18 -0700] "GET /donhughes.swf HTTP/1.1" 200 123769 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "donhughescountry.com"
100.43.83.135 - - [26/Oct/2013:15:47:22 -0700] "GET /donhughes.swf HTTP/1.1" 200 123769 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
100.43.83.135 - - [26/Oct/2013:15:47:28 -0700] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "donhughescountry.com"
100.43.83.135 - - [26/Oct/2013:15:47:31 -0700] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
