157.55.33.83 - - [03/Nov/2013:18:00:33 -0800] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.donhughescountry.com"
218.30.103.130 - - [03/Nov/2013:20:05:47 -0800] "GET / HTTP/1.1" 200 4461 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" "donhughescountry.com"
69.30.238.162 - - [04/Nov/2013:01:57:45 -0800] "GET /robots.txt HTTP/1.0" 200 92 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
69.30.238.162 - - [04/Nov/2013:01:57:50 -0800] "GET /index2.php?page=acting HTTP/1.0" 200 35564 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
69.30.238.162 - - [04/Nov/2013:01:57:57 -0800] "GET /index2.php?page=album HTTP/1.0" 200 35563 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
69.30.238.162 - - [04/Nov/2013:01:58:03 -0800] "GET /index2.php?page=bio HTTP/1.0" 200 35561 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
69.30.238.162 - - [04/Nov/2013:01:58:27 -0800] "GET /robots.txt HTTP/1.0" 200 535 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
69.30.238.162 - - [04/Nov/2013:01:58:30 -0800] "GET /sitemap.xml HTTP/1.0" 200 935 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "donhughescountry.com"
66.249.73.49 - - [04/Nov/2013:03:45:16 -0800] "GET /dh_5073.jpg HTTP/1.1" 200 28263 "-" "Googlebot-Image/1.0" "www.donhughescountry.com"
100.43.83.135 - - [04/Nov/2013:03:45:52 -0800] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
65.55.215.99 - - [04/Nov/2013:05:55:19 -0800] "GET /robots.txt HTTP/1.1" 200 559 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.donhughescountry.com"
65.55.215.99 - - [04/Nov/2013:05:55:19 -0800] "GET /jukebox.jpg HTTP/1.1" 200 5321 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.donhughescountry.com"
220.181.51.155 - - [04/Nov/2013:07:50:27 -0800] "GET /dhfilm.mp4 HTTP/1.0" 200 1004362 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
100.43.83.135 - - [04/Nov/2013:12:44:24 -0800] "GET /bio.gif HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
100.43.83.135 - - [04/Nov/2013:12:52:11 -0800] "GET /bar.gif HTTP/1.1" 200 7007 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
100.43.83.135 - - [04/Nov/2013:14:51:13 -0800] "GET /getconected.gif HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "www.donhughescountry.com"
