183.60.214.20 - - [07/Nov/2013:16:09:01 -0800] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; EasouSpider; +http://www.easou.com/search/spider.html)" "donhughescountry.com"
183.60.213.29 - - [07/Nov/2013:17:08:21 -0800] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (compatible; EasouSpider; +http://www.easou.com/search/spider.html)" "donhughescountry.com"
198.27.82.157 - - [07/Nov/2013:18:17:01 -0800] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (compatible; meanpathbot/1.0; +http://www.meanpath.com/meanpathbot.html)" "donhughescountry.com"
72.42.90.10 - - [07/Nov/2013:19:45:01 -0800] "GET /index2.php HTTP/1.1" 200 35543 "http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0CC0QFjAA&url=http%3A%2F%2Fwww.donhughescountry.com%2Findex2.php&ei=M158UvUN567JAa_pgcAK&usg=AFQjCNHEuDZbqC0TRpHO0goeXqvFAWYTYA&sig2=58vqCQ6HZsD8g_xxiGlL0Q&bvm=bv.56146854,d.aWc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "www.donhughescountry.com"
72.42.90.10 - - [07/Nov/2013:19:45:02 -0800] "GET /niceforms.js HTTP/1.1" 200 2583 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "www.donhughescountry.com"
72.42.90.10 - - [07/Nov/2013:19:45:02 -0800] "GET /niceforms.css HTTP/1.1" 200 1585 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "www.donhughescountry.com"
72.42.90.10 - - [07/Nov/2013:19:45:02 -0800] "GET /jukebox.jpg HTTP/1.1" 200 5321 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "www.donhughescountry.com"
72.42.90.10 - - [07/Nov/2013:19:45:02 -0800] "GET /newposter.jpg HTTP/1.0" 200 3525 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "www.donhughescountry.com"
72.42.90.10 - - [07/Nov/2013:19:45:03 -0800] "GET /Discography.gif HTTP/1.1" 200 2306 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "www.donhughescountry.com"
72.42.90.10 - - [07/Nov/2013:19:45:03 -0800] "GET /albumcase.gif HTTP/1.1" 404 89 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "www.donhughescountry.com"
72.42.90.10 - - [07/Nov/2013:19:45:03 -0800] "GET /dh_1sm.gif HTTP/1.1" 200 10552 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "www.donhughescountry.com"
72.42.90.10 - - [07/Nov/2013:19:45:03 -0800] "GET /dh_2sm.gif HTTP/1.1" 200 10695 "http://www.donhughescountry.com/index2.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1" "www.donhughescountry.com"
