62.210.215.100 - - [14/Nov/2013:20:31:02 -0800] "GET /sitemap.xml HTTP/1.1" 200 1098 "-" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.66 Safari/537.36" "www.donhughescountry.com"
157.55.33.26 - - [14/Nov/2013:22:21:05 -0800] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.donhughescountry.com"
5.9.108.235 - - [15/Nov/2013:01:31:58 -0800] "GET /robots.txt HTTP/1.0" 200 92 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "www.donhughescountry.com"
204.12.208.162 - - [15/Nov/2013:01:36:32 -0800] "GET /robots.txt HTTP/1.0" 200 92 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "www.donhughescountry.com"
204.12.208.162 - - [15/Nov/2013:01:36:34 -0800] "GET /IndusrtyQA.htm HTTP/1.0" 200 1835 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.4; http://www.majestic12.co.uk/bot.php?+)" "www.donhughescountry.com"
217.69.133.229 - - [15/Nov/2013:05:27:52 -0800] "GET /robots.txt HTTP/1.0" 200 92 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" "www.donhughescountry.com"
157.55.35.40 - - [15/Nov/2013:06:31:12 -0800] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "donhughescountry.com"
123.125.67.181 - - [15/Nov/2013:07:23:35 -0800] "GET /dhfilm.mp4 HTTP/1.0" 200 847456 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
220.181.51.156 - - [15/Nov/2013:07:29:46 -0800] "GET /dhfilm.mp4 HTTP/1.0" 200 833728 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)" "www.donhughescountry.com"
178.77.126.55 - - [15/Nov/2013:10:55:27 -0800] "GET / HTTP/1.1" 200 4461 "-" "Mozilla/5.0 (compatible; CareerBot/1.1; +http://www.career-x.de/bot.html)" "www.donhughescountry.com"
157.55.35.40 - - [15/Nov/2013:13:08:01 -0800] "GET /robots.txt HTTP/1.1" 200 92 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "donhughescountry.com"
76.91.227.63 - - [15/Nov/2013:13:17:30 -0800] "GET /new-site/dynamic HTTP/1.1" 301 112 "http://www.donhughescountry.com/new-site/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36" "www.donhughescountry.com"
76.91.227.63 - - [15/Nov/2013:13:17:30 -0800] "GET /new-site/dynamic/ HTTP/1.1" 200 3746 "http://www.donhughescountry.com/new-site/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36" "www.donhughescountry.com"
76.91.227.63 - - [15/Nov/2013:13:17:31 -0800] "GET /new-site/_css/responsive.css HTTP/1.1" 404 89 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36" "www.donhughescountry.com"
76.91.227.63 - - [15/Nov/2013:13:17:35 -0800] "GET /new-site/index.html HTTP/1.1" 200 2710 "http://www.donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36" "www.donhughescountry.com"
76.91.227.63 - - [15/Nov/2013:13:20:30 -0800] "GET /new-site/ HTTP/1.1" 200 4805 "http://donhughescountry.com/" "Mozilla/5.0 (Linux; U; Android 4.0.3; en-us; HTC Sensation 4G Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "donhughescountry.com"
76.91.227.63 - - [15/Nov/2013:13:20:30 -0800] "GET /new-site/_css/styles.css HTTP/1.1" 200 8655 "http://donhughescountry.com/new-site/" "Mozilla/5.0 (Linux; U; Android 4.0.3; en-us; HTC Sensation 4G Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "donhughescountry.com"
76.91.227.63 - - [15/Nov/2013:13:20:31 -0800] "GET /new-site/dynamic HTTP/1.1" 301 108 "http://donhughescountry.com/new-site/" "Mozilla/5.0 (Linux; U; Android 4.0.3; en-us; HTC Sensation 4G Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "donhughescountry.com"
76.91.227.63 - - [15/Nov/2013:13:20:32 -0800] "GET /new-site/dynamic/ HTTP/1.1" 200 3746 "http://donhughescountry.com/new-site/" "Mozilla/5.0 (Linux; U; Android 4.0.3; en-us; HTC Sensation 4G Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "donhughescountry.com"
76.91.227.63 - - [15/Nov/2013:13:20:32 -0800] "GET /new-site/dynamic/js/libs/jquery/1.7.1/jquery.min.js HTTP/1.1" 200 33679 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Linux; U; Android 4.0.3; en-us; HTC Sensation 4G Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "donhughescountry.com"
76.91.227.63 - - [15/Nov/2013:13:20:32 -0800] "GET /new-site/dynamic/js/libs/jquery/plugins/jquery.listen-min.js HTTP/1.1" 200 1742 "http://donhughescountry.com/new-site/dynamic/" "Mozilla/5.0 (Linux; U; Android 4.0.3; en-us; HTC Sensation 4G Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "donhughescountry.com"
